market,symbol,timeframe,rows,stored_start,stored_end,stale_days,sources,adjustments,leading_gap,trailing_gap,coverage_ok,status
a_share,000400,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000401,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000402,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000403,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000404,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000407,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000408,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000409,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000410,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000411,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000415,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000417,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000419,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000420,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000421,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000422,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000423,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000425,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000426,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000428,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000429,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000430,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000488,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000498,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000501,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000503,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000504,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000505,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000506,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000507,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000509,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000510,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000513,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000514,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000516,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000517,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000518,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000519,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000520,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000521,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000523,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000524,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000525,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000526,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000528,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000529,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000530,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000531,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000532,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000533,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000534,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000536,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000537,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000538,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000539,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000541,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000543,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000544,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000545,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000546,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000547,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000548,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000550,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000551,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000552,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000553,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000554,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000555,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000557,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000558,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000559,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000560,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000561,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000563,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000564,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000565,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000566,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000567,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000568,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000570,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000571,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000572,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000573,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000576,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000581,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000582,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000586,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000589,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000590,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000591,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000592,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000593,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000595,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000596,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000597,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000598,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000599,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000600,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000601,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000603,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000605,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000607,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000608,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000609,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000610,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000612,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000615,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000617,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000619,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000620,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000623,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000625,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000626,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000628,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000629,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000630,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000631,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000632,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000633,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000635,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000636,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000637,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000639,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000650,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000651,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000652,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000655,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000656,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000657,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000659,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000661,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000663,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000665,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000668,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000669,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000670,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
a_share,000672,1d,2101,2018-01-02,2026-08-28,1.0,baostock,qfq,False,False,True,complete
